vid,text_input
44,"gender: men, jackettype: fleece, color: gray, onfrontpage: no"
45,"gender: men, jackettype: other, color: other, onfrontpage: no"
46,"gender: men, jackettype: shells, color: black, onfrontpage: no"
47,"gender: men, jackettype: vests, color: blue, onfrontpage: no"
48,"gender: men, jackettype: rain, color: black, onfrontpage: no"
49,"gender: men, jackettype: bomber, color: black, onfrontpage: no"
50,"gender: men, jackettype: waterproof, color: blue, onfrontpage: no"
51,"gender: men, jackettype: field, color: navy, onfrontpage: no"
52,"gender: men, jackettype: insulated, color: beige, onfrontpage: no"
53,"gender: men, jackettype: shells, color: gray, onfrontpage: no"
54,"gender: men, jackettype: field, color: brown, onfrontpage: no"
55,"gender: men, jackettype: insulated, color: red, onfrontpage: no"
56,"gender: men, jackettype: fleece, color: olive, onfrontpage: no"
57,"gender: men, jackettype: vests, color: black, onfrontpage: no"
58,"gender: men, jackettype: fleece, color: black, onfrontpage: no"
59,"gender: men, jackettype: parkas, color: blue, onfrontpage: no"
60,"gender: men, jackettype: vests, color: gray, onfrontpage: no"
61,"gender: men, jackettype: insulated, color: black, onfrontpage: no"
62,"gender: men, jackettype: other, color: navy, onfrontpage: no"
63,"gender: men, jackettype: shells, color: black, onfrontpage: no"
64,"gender: men, jackettype: rain, color: red, onfrontpage: no"
65,"gender: men, jackettype: packable, color: green, onfrontpage: no"
66,"gender: men, jackettype: waterproof, color: blue, onfrontpage: no"
67,"gender: men, jackettype: fleece, color: other, onfrontpage: no"
68,"gender: men, jackettype: other, color: black, onfrontpage: no"
69,"gender: men, jackettype: rain, color: brown, onfrontpage: no"
70,"gender: men, jackettype: waterproof, color: blue, onfrontpage: no"
71,"gender: men, jackettype: bomber, color: gray, onfrontpage: no"
72,"gender: men, jackettype: shells, color: green, onfrontpage: no"
73,"gender: men, jackettype: insulated, color: gray, onfrontpage: no"
74,"gender: men, jackettype: insulated, color: navy, onfrontpage: no"
75,"gender: men, jackettype: other, color: black, onfrontpage: no"
76,"gender: men, jackettype: packable, color: blue, onfrontpage: no"
77,"gender: men, jackettype: insulated, color: brown, onfrontpage: no"
78,"gender: men, jackettype: field, color: green, onfrontpage: no"
79,"gender: men, jackettype: other, color: gray, onfrontpage: no"
80,"gender: men, jackettype: field, color: olive, onfrontpage: no"
81,"gender: men, jackettype: vests, color: beige, onfrontpage: no"
82,"gender: men, jackettype: vests, color: gray, onfrontpage: no"
83,"gender: men, jackettype: vests, color: gray, onfrontpage: no"
84,"gender: men, jackettype: shells, color: blue, onfrontpage: no"
85,"gender: men, jackettype: track, color: blue, onfrontpage: no"
86,"gender: men, jackettype: fleece, color: red, onfrontpage: no"
87,"gender: men, jackettype: other, color: navy, onfrontpage: no"
88,"gender: men, jackettype: bomber, color: blue, onfrontpage: no"
89,"gender: men, jackettype: packable, color: brown, onfrontpage: no"
90,"gender: men, jackettype: parkas, color: black, onfrontpage: no"
91,"gender: men, jackettype: track, color: black, onfrontpage: no"
92,"gender: men, jackettype: packable, color: black, onfrontpage: no"
93,"gender: men, jackettype: track, color: gray, onfrontpage: no"
94,"gender: men, jackettype: vests, color: olive, onfrontpage: no"
95,"gender: men, jackettype: vests, color: green, onfrontpage: no"
96,"gender: men, jackettype: waterproof, color: other, onfrontpage: yes"
97,"gender: men, jackettype: insulated, color: other, onfrontpage: yes"
98,"gender: men, jackettype: field, color: brown, onfrontpage: yes"
99,"gender: men, jackettype: rain, color: black, onfrontpage: yes"
100,"gender: men, jackettype: vests, color: black, onfrontpage: yes"
101,"gender: men, jackettype: bomber, color: blue, onfrontpage: yes"
102,"gender: men, jackettype: insulated, color: brown, onfrontpage: yes"
103,"gender: men, jackettype: insulated, color: gray, onfrontpage: no"
104,"gender: men, jackettype: shells, color: gray, onfrontpage: no"
105,"gender: men, jackettype: shells, color: gray, onfrontpage: no"
106,"gender: men, jackettype: other, color: olive, onfrontpage: no"
107,"gender: men, jackettype: other, color: gray, onfrontpage: no"
108,"gender: men, jackettype: packable, color: other, onfrontpage: no"
109,"gender: men, jackettype: rain, color: gray, onfrontpage: no"
110,"gender: men, jackettype: insulated, color: blue, onfrontpage: no"
111,"gender: men, jackettype: vests, color: other, onfrontpage: no"
112,"gender: men, jackettype: track, color: gray, onfrontpage: no"
113,"gender: men, jackettype: track, color: red, onfrontpage: no"
114,"gender: men, jackettype: other, color: navy, onfrontpage: no"
115,"gender: men, jackettype: fleece, color: green, onfrontpage: no"
116,"gender: men, jackettype: shells, color: beige, onfrontpage: no"
117,"gender: men, jackettype: field, color: brown, onfrontpage: no"
118,"gender: men, jackettype: other, color: black, onfrontpage: no"
119,"gender: men, jackettype: rain, color: blue, onfrontpage: no"
120,"gender: men, jackettype: bomber, color: black, onfrontpage: no"
121,"gender: men, jackettype: bomber, color: green, onfrontpage: no"
122,"gender: men, jackettype: waterproof, color: other, onfrontpage: no"
123,"gender: men, jackettype: insulated, color: green, onfrontpage: no"
124,"gender: men, jackettype: waterproof, color: multi, onfrontpage: no"
125,"gender: men, jackettype: fleece, color: beige, onfrontpage: no"
126,"gender: men, jackettype: parkas, color: black, onfrontpage: no"
127,"gender: men, jackettype: packable, color: navy, onfrontpage: no"
128,"gender: men, jackettype: vests, color: olive, onfrontpage: no"
129,"gender: men, jackettype: fleece, color: navy, onfrontpage: no"
130,"gender: men, jackettype: vests, color: black, onfrontpage: no"
131,"gender: men, jackettype: field, color: multi, onfrontpage: no"
132,"gender: men, jackettype: waterproof, color: gray, onfrontpage: no"
133,"gender: men, jackettype: field, color: black, onfrontpage: no"
134,"gender: men, jackettype: parkas, color: black, onfrontpage: no"
135,"gender: men, jackettype: packable, color: other, onfrontpage: no"
136,"gender: men, jackettype: bomber, color: brown, onfrontpage: no"
137,"gender: men, jackettype: waterproof, color: black, onfrontpage: no"
138,"gender: men, jackettype: field, color: olive, onfrontpage: no"
139,"gender: men, jackettype: fleece, color: blue, onfrontpage: no"
140,"gender: men, jackettype: rain, color: multi, onfrontpage: no"
141,"gender: men, jackettype: other, color: black, onfrontpage: no"
142,"gender: men, jackettype: other, color: black, onfrontpage: no"
143,"gender: men, jackettype: parkas, color: black, onfrontpage: no"
144,"gender: men, jackettype: fleece, color: navy, onfrontpage: no"
145,"gender: men, jackettype: track, color: gray, onfrontpage: no"
146,"gender: men, jackettype: parkas, color: other, onfrontpage: no"
147,"gender: men, jackettype: shells, color: blue, onfrontpage: no"
148,"gender: men, jackettype: field, color: brown, onfrontpage: no"
149,"gender: men, jackettype: other, color: black, onfrontpage: no"
150,"gender: women, jackettype: cropped, color: black, onfrontpage: no"
151,"gender: women, jackettype: waterproof, color: red, onfrontpage: no"
152,"gender: women, jackettype: insulated, color: pink, onfrontpage: no"
153,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
154,"gender: women, jackettype: trench, color: gray, onfrontpage: no"
155,"gender: women, jackettype: bomber, color: black, onfrontpage: no"
156,"gender: women, jackettype: shells, color: purple, onfrontpage: no"
157,"gender: women, jackettype: bomber, color: other, onfrontpage: no"
158,"gender: women, jackettype: parkas, color: red, onfrontpage: no"
159,"gender: women, jackettype: other, color: black, onfrontpage: no"
160,"gender: women, jackettype: shells, color: other, onfrontpage: no"
161,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
162,"gender: women, jackettype: rain, color: blue, onfrontpage: no"
163,"gender: women, jackettype: vests, color: other, onfrontpage: no"
164,"gender: women, jackettype: insulated, color: blue, onfrontpage: no"
165,"gender: women, jackettype: bomber, color: other, onfrontpage: no"
166,"gender: women, jackettype: insulated, color: beige, onfrontpage: no"
167,"gender: women, jackettype: bomber, color: black, onfrontpage: no"
168,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
169,"gender: women, jackettype: vests, color: other, onfrontpage: no"
170,"gender: women, jackettype: other, color: other, onfrontpage: no"
171,"gender: women, jackettype: fleece, color: purple, onfrontpage: no"
172,"gender: women, jackettype: fleece, color: gray, onfrontpage: no"
173,"gender: women, jackettype: other, color: black, onfrontpage: no"
174,"gender: women, jackettype: pea, color: beige, onfrontpage: no"
175,"gender: women, jackettype: trench, color: other, onfrontpage: no"
176,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
177,"gender: women, jackettype: rain, color: beige, onfrontpage: no"
178,"gender: women, jackettype: rain, color: black, onfrontpage: no"
179,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
180,"gender: women, jackettype: vests, color: red, onfrontpage: no"
181,"gender: women, jackettype: waterproof, color: gray, onfrontpage: no"
182,"gender: women, jackettype: waterproof, color: red, onfrontpage: no"
183,"gender: women, jackettype: waterproof, color: blue, onfrontpage: no"
184,"gender: women, jackettype: bomber, color: other, onfrontpage: no"
185,"gender: women, jackettype: vests, color: beige, onfrontpage: no"
186,"gender: women, jackettype: fleece, color: beige, onfrontpage: no"
187,"gender: women, jackettype: trench, color: black, onfrontpage: no"
188,"gender: women, jackettype: trench, color: gray, onfrontpage: no"
189,"gender: women, jackettype: shells, color: pink, onfrontpage: no"
190,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
191,"gender: women, jackettype: other, color: red, onfrontpage: no"
192,"gender: women, jackettype: rain, color: other, onfrontpage: no"
193,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
194,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
195,"gender: women, jackettype: trench, color: other, onfrontpage: no"
196,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
197,"gender: women, jackettype: motorcycle, color: brown, onfrontpage: no"
198,"gender: women, jackettype: trench, color: gray, onfrontpage: no"
199,"gender: women, jackettype: bomber, color: other, onfrontpage: no"
200,"gender: women, jackettype: rain, color: black, onfrontpage: no"
201,"gender: women, jackettype: other, color: beige, onfrontpage: no"
202,"gender: women, jackettype: vests, color: brown, onfrontpage: no"
203,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
204,"gender: women, jackettype: other, color: other, onfrontpage: no"
205,"gender: women, jackettype: vests, color: other, onfrontpage: no"
206,"gender: women, jackettype: rain, color: blue, onfrontpage: no"
207,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
208,"gender: women, jackettype: shells, color: gray, onfrontpage: no"
209,"gender: women, jackettype: other, color: beige, onfrontpage: no"
210,"gender: women, jackettype: insulated, color: green, onfrontpage: no"
211,"gender: women, jackettype: other, color: beige, onfrontpage: no"
212,"gender: women, jackettype: rain, color: black, onfrontpage: no"
213,"gender: women, jackettype: other, color: black, onfrontpage: no"
214,"gender: women, jackettype: parkas, color: gray, onfrontpage: no"
215,"gender: women, jackettype: other, color: other, onfrontpage: no"
216,"gender: women, jackettype: insulated, color: pink, onfrontpage: no"
217,"gender: women, jackettype: waterproof, color: pink, onfrontpage: no"
218,"gender: women, jackettype: motorcycle, color: red, onfrontpage: no"
219,"gender: women, jackettype: parkas, color: brown, onfrontpage: no"
220,"gender: women, jackettype: trench, color: other, onfrontpage: no"
221,"gender: women, jackettype: parkas, color: brown, onfrontpage: no"
222,"gender: women, jackettype: vests, color: brown, onfrontpage: no"
223,"gender: women, jackettype: pea, color: brown, onfrontpage: no"
224,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
225,"gender: women, jackettype: other, color: black, onfrontpage: no"
226,"gender: women, jackettype: motorcycle, color: black, onfrontpage: no"
227,"gender: women, jackettype: fleece, color: black, onfrontpage: no"
228,"gender: women, jackettype: fleece, color: blue, onfrontpage: no"
229,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
230,"gender: women, jackettype: vests, color: pink, onfrontpage: no"
231,"gender: women, jackettype: other, color: other, onfrontpage: no"
232,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
233,"gender: women, jackettype: pea, color: other, onfrontpage: no"
234,"gender: women, jackettype: parkas, color: blue, onfrontpage: no"
235,"gender: women, jackettype: fleece, color: gray, onfrontpage: no"
236,"gender: women, jackettype: other, color: blue, onfrontpage: no"
237,"gender: women, jackettype: cropped, color: brown, onfrontpage: no"
238,"gender: women, jackettype: other, color: other, onfrontpage: no"
239,"gender: women, jackettype: trench, color: black, onfrontpage: no"
240,"gender: women, jackettype: vests, color: other, onfrontpage: no"
241,"gender: women, jackettype: parkas, color: other, onfrontpage: no"
242,"gender: women, jackettype: cropped, color: red, onfrontpage: no"
243,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
244,"gender: women, jackettype: motorcycle, color: brown, onfrontpage: no"
245,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
246,"gender: women, jackettype: trench, color: gray, onfrontpage: yes"
247,"gender: women, jackettype: fleece, color: gray, onfrontpage: yes"
248,"gender: women, jackettype: trench, color: gray, onfrontpage: yes"
249,"gender: women, jackettype: other, color: other, onfrontpage: yes"
250,"gender: women, jackettype: cropped, color: green, onfrontpage: yes"
251,"gender: women, jackettype: rain, color: purple, onfrontpage: yes"
252,"gender: women, jackettype: pea, color: black, onfrontpage: yes"
253,"gender: women, jackettype: rain, color: pink, onfrontpage: yes"
254,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
255,"gender: women, jackettype: vests, color: beige, onfrontpage: no"
256,"gender: women, jackettype: parkas, color: brown, onfrontpage: no"
257,"gender: women, jackettype: parkas, color: gray, onfrontpage: no"
258,"gender: women, jackettype: vests, color: black, onfrontpage: no"
259,"gender: women, jackettype: fleece, color: blue, onfrontpage: no"
260,"gender: women, jackettype: shells, color: purple, onfrontpage: no"
261,"gender: women, jackettype: insulated, color: gray, onfrontpage: no"
262,"gender: women, jackettype: pea, color: green, onfrontpage: no"
263,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
264,"gender: women, jackettype: insulated, color: black, onfrontpage: no"
265,"gender: women, jackettype: vests, color: green, onfrontpage: no"
266,"gender: women, jackettype: fleece, color: purple, onfrontpage: no"
267,"gender: women, jackettype: trench, color: gray, onfrontpage: no"
268,"gender: women, jackettype: bomber, color: black, onfrontpage: no"
269,"gender: women, jackettype: rain, color: blue, onfrontpage: no"
270,"gender: women, jackettype: shells, color: purple, onfrontpage: no"
271,"gender: women, jackettype: insulated, color: green, onfrontpage: no"
272,"gender: women, jackettype: insulated, color: blue, onfrontpage: no"
273,"gender: women, jackettype: cropped, color: black, onfrontpage: no"
274,"gender: women, jackettype: cropped, color: brown, onfrontpage: no"
275,"gender: women, jackettype: other, color: other, onfrontpage: no"
276,"gender: women, jackettype: waterproof, color: other, onfrontpage: no"
277,"gender: women, jackettype: rain, color: other, onfrontpage: no"
278,"gender: women, jackettype: fleece, color: gray, onfrontpage: no"
279,"gender: women, jackettype: parkas, color: black, onfrontpage: no"
280,"gender: women, jackettype: parkas, color: other, onfrontpage: no"
281,"gender: women, jackettype: shells, color: blue, onfrontpage: no"
282,"gender: women, jackettype: parkas, color: brown, onfrontpage: no"
283,"gender: women, jackettype: shells, color: red, onfrontpage: no"
284,"gender: women, jackettype: bomber, color: other, onfrontpage: no"
285,"gender: women, jackettype: other, color: pink, onfrontpage: no"
286,"gender: women, jackettype: insulated, color: pink, onfrontpage: no"
287,"gender: women, jackettype: insulated, color: other, onfrontpage: no"
288,"gender: women, jackettype: pea, color: black, onfrontpage: no"
289,"gender: women, jackettype: vests, color: green, onfrontpage: no"
290,"gender: women, jackettype: rain, color: black, onfrontpage: no"
291,"gender: women, jackettype: parkas, color: green, onfrontpage: no"
292,"gender: women, jackettype: other, color: purple, onfrontpage: no"
293,"gender: women, jackettype: other, color: beige, onfrontpage: no"
294,"gender: women, jackettype: motorcycle, color: other, onfrontpage: no"
295,"gender: women, jackettype: other, color: green, onfrontpage: no"
296,"gender: women, jackettype: other, color: beige, onfrontpage: no"
297,"gender: women, jackettype: waterproof, color: black, onfrontpage: no"
298,"gender: women, jackettype: cropped, color: black, onfrontpage: no"
299,"gender: women, jackettype: waterproof, color: purple, onfrontpage: no"
