vid,text_input
51,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
52,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
53,"gender: women, age: 50-60, location: suburban, fashioninterest: moderately"
54,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
55,"gender: women, age: 40-50, location: suburban, fashioninterest: moderately"
56,"gender: women, age: 50-60, location: suburban, fashioninterest: very"
57,"gender: women, age: 30-40, location: suburban, fashioninterest: very"
58,"gender: women, age: 40-50, location: suburban, fashioninterest: very"
59,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
60,"gender: women, age: over 60, location: rural, fashioninterest: very"
61,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
62,"gender: women, age: 50-60, location: rural, fashioninterest: moderately"
63,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
64,"gender: women, age: 20-30, location: rural, fashioninterest: very"
65,"gender: women, age: over 60, location: rural, fashioninterest: moderately"
66,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
67,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
68,"gender: women, age: 30-40, location: rural, fashioninterest: very"
69,"gender: women, age: 40-50, location: rural, fashioninterest: very"
70,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
71,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
72,"gender: women, age: 20-30, location: urban, fashioninterest: very"
73,"gender: women, age: 50-60, location: urban, fashioninterest: moderately"
74,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
75,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
76,"gender: women, age: 20-30, location: urban, fashioninterest: very"
77,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
78,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
79,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
80,"gender: women, age: 50-60, location: urban, fashioninterest: moderately"
81,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
82,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
83,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
84,"gender: women, age: 30-40, location: suburban, fashioninterest: very"
85,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
86,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
87,"gender: women, age: 30-40, location: urban, fashioninterest: very"
88,"gender: women, age: 30-40, location: suburban, fashioninterest: very"
89,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
90,"gender: women, age: 30-40, location: urban, fashioninterest: very"
91,"gender: women, age: 40-50, location: rural, fashioninterest: moderately"
92,"gender: women, age: 30-40, location: suburban, fashioninterest: not at all"
93,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
94,"gender: women, age: 50-60, location: suburban, fashioninterest: moderately"
95,"gender: women, age: 20-30, location: rural, fashioninterest: moderately"
96,"gender: women, age: 40-50, location: suburban, fashioninterest: very"
97,"gender: women, age: 50-60, location: urban, fashioninterest: moderately"
98,"gender: women, age: 50-60, location: suburban, fashioninterest: very"
99,"gender: women, age: 30-40, location: urban, fashioninterest: moderately"
100,"gender: women, age: 50-60, location: rural, fashioninterest: moderately"
101,"gender: women, age: 40-50, location: urban, fashioninterest: moderately"
102,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
103,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
104,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
105,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
106,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
107,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
108,"gender: women, age: 30-40, location: suburban, fashioninterest: very"
109,"gender: women, age: under 20, location: suburban, fashioninterest: moderately"
110,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
111,"gender: women, age: 20-30, location: urban, fashioninterest: very"
112,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
113,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
114,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
115,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
116,"gender: women, age: 40-50, location: urban, fashioninterest: very"
117,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
118,"gender: women, age: 20-30, location: suburban, fashioninterest: very"
119,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
120,"gender: women, age: 30-40, location: urban, fashioninterest: very"
121,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
122,"gender: women, age: 30-40, location: rural, fashioninterest: moderately"
123,"gender: women, age: 30-40, location: urban, fashioninterest: very"
124,"gender: women, age: 20-30, location: suburban, fashioninterest: moderately"
125,"gender: women, age: 20-30, location: urban, fashioninterest: moderately"
126,"gender: women, age: 30-40, location: suburban, fashioninterest: moderately"
127,"gender: women, age: 50-60, location: urban, fashioninterest: moderately"
128,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
129,"gender: men, age: 40-50, location: rural, fashioninterest: moderately"
130,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
131,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
132,"gender: men, age: 50-60, location: urban, fashioninterest: not at all"
133,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
134,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
135,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
136,"gender: men, age: under 20, location: urban, fashioninterest: moderately"
137,"gender: men, age: 50-60, location: urban, fashioninterest: moderately"
138,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
139,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
140,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
141,"gender: men, age: 30-40, location: urban, fashioninterest: very"
142,"gender: men, age: over 60, location: rural, fashioninterest: not at all"
143,"gender: men, age: 40-50, location: suburban, fashioninterest: not at all"
144,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
145,"gender: men, age: 30-40, location: suburban, fashioninterest: very"
146,"gender: men, age: 30-40, location: urban, fashioninterest: very"
147,"gender: men, age: 40-50, location: rural, fashioninterest: not at all"
148,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
149,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
150,"gender: men, age: 30-40, location: rural, fashioninterest: not at all"
151,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
152,"gender: men, age: 30-40, location: rural, fashioninterest: moderately"
153,"gender: men, age: over 60, location: rural, fashioninterest: not at all"
154,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
155,"gender: men, age: 50-60, location: urban, fashioninterest: moderately"
156,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
157,"gender: men, age: 40-50, location: rural, fashioninterest: moderately"
158,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
159,"gender: men, age: 20-30, location: urban, fashioninterest: very"
160,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
161,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
162,"gender: men, age: 30-40, location: suburban, fashioninterest: not at all"
163,"gender: men, age: 50-60, location: suburban, fashioninterest: moderately"
164,"gender: men, age: 50-60, location: rural, fashioninterest: not at all"
165,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
166,"gender: men, age: 40-50, location: suburban, fashioninterest: not at all"
167,"gender: men, age: 30-40, location: urban, fashioninterest: not at all"
168,"gender: men, age: 20-30, location: rural, fashioninterest: moderately"
169,"gender: men, age: 30-40, location: urban, fashioninterest: very"
170,"gender: men, age: 20-30, location: rural, fashioninterest: very"
171,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
172,"gender: men, age: 20-30, location: suburban, fashioninterest: very"
173,"gender: men, age: 50-60, location: suburban, fashioninterest: not at all"
174,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
175,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
176,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
177,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
178,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
179,"gender: men, age: 30-40, location: urban, fashioninterest: very"
180,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
181,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
182,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
183,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
184,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
185,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
186,"gender: men, age: 40-50, location: suburban, fashioninterest: not at all"
187,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
188,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
189,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
190,"gender: men, age: 20-30, location: suburban, fashioninterest: very"
191,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
192,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
193,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
194,"gender: men, age: 30-40, location: rural, fashioninterest: moderately"
195,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
196,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
197,"gender: men, age: 30-40, location: urban, fashioninterest: very"
198,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
199,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
200,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
201,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
202,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
203,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
204,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
205,"gender: men, age: 40-50, location: rural, fashioninterest: very"
206,"gender: men, age: 30-40, location: suburban, fashioninterest: not at all"
207,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
208,"gender: men, age: 30-40, location: suburban, fashioninterest: very"
209,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
210,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
211,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
212,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
213,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
214,"gender: men, age: 20-30, location: suburban, fashioninterest: very"
215,"gender: men, age: 30-40, location: urban, fashioninterest: very"
216,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
217,"gender: men, age: 20-30, location: urban, fashioninterest: very"
218,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
219,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
220,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
221,"gender: men, age: 40-50, location: urban, fashioninterest: moderately"
222,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
223,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
224,"gender: men, age: 20-30, location: rural, fashioninterest: moderately"
225,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
226,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
227,"gender: men, age: 40-50, location: rural, fashioninterest: moderately"
228,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
229,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
230,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
231,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
232,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
233,"gender: men, age: 20-30, location: rural, fashioninterest: very"
234,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
235,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
236,"gender: men, age: 20-30, location: suburban, fashioninterest: very"
237,"gender: men, age: 30-40, location: suburban, fashioninterest: very"
238,"gender: men, age: 30-40, location: urban, fashioninterest: very"
239,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
240,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
241,"gender: men, age: over 60, location: rural, fashioninterest: moderately"
242,"gender: men, age: 40-50, location: rural, fashioninterest: moderately"
243,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
244,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
245,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
246,"gender: men, age: 20-30, location: rural, fashioninterest: moderately"
247,"gender: men, age: 30-40, location: suburban, fashioninterest: very"
248,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
249,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
250,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
251,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
252,"gender: men, age: 50-60, location: urban, fashioninterest: not at all"
253,"gender: men, age: 30-40, location: rural, fashioninterest: moderately"
254,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
255,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
256,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
257,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
258,"gender: men, age: 30-40, location: suburban, fashioninterest: moderately"
259,"gender: men, age: 50-60, location: rural, fashioninterest: moderately"
260,"gender: men, age: 40-50, location: rural, fashioninterest: not at all"
261,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
262,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
263,"gender: men, age: 40-50, location: rural, fashioninterest: moderately"
264,"gender: men, age: 50-60, location: urban, fashioninterest: moderately"
265,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
266,"gender: men, age: 30-40, location: suburban, fashioninterest: not at all"
267,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
268,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
269,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
270,"gender: men, age: 20-30, location: suburban, fashioninterest: not at all"
271,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
272,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
273,"gender: men, age: 30-40, location: urban, fashioninterest: moderately"
274,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
275,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
276,"gender: men, age: 20-30, location: urban, fashioninterest: not at all"
277,"gender: men, age: 30-40, location: suburban, fashioninterest: very"
278,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
279,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
280,"gender: men, age: 30-40, location: suburban, fashioninterest: not at all"
281,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
282,"gender: men, age: 30-40, location: urban, fashioninterest: not at all"
283,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
284,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
285,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
286,"gender: men, age: 20-30, location: suburban, fashioninterest: moderately"
287,"gender: men, age: 20-30, location: urban, fashioninterest: moderately"
288,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
289,"gender: men, age: 40-50, location: suburban, fashioninterest: moderately"
